Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.443
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4278
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6857
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9964
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7206
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2956
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.3017
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0306
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0276
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",10.869
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9261
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4826
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.7688
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7058
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4409
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.1754
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4187
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7701
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4682
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6042
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9985
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6277
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3687
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4459
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8263
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0207
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7481
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4199
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8772
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5475
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1144
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2922
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2478
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4307
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3324
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6287
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.215
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1009
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6054
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4529
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2172
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0676
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2145
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8492
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8291
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5252
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1145
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2507
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4739
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6629
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5679
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7017
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.63
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2936
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1564
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9507
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2907
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9363
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4855
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.6426
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6488
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5265
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.577
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1215
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5637
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2268
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.5802
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8177
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2985
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2962
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1064
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5349
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5964
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2364
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8194
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9749
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6715
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.1737
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.678
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4383
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.2677
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0929
