Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5591
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4588
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9051
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0663
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.4619
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6023
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0886
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4467
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5235
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.655
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9122
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.7166
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6172
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5139
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.5772
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2939
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.0934
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7332
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.67
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.0787
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2682
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6591
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.2589
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4717
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3447
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0863
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6275
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.1743
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3852
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.2081
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4666
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1842
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5771
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.545
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.445
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4347
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.4842
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3233
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.3755
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0715
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6885
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7386
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7785
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5892
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7365
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.2145
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2288
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1785
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3776
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.1624
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7727
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7598
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8641
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.921
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6765
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2311
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0225
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1585
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3966
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7926
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7719
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1533
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0845
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8896
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1787
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3024
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3382
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5848
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6883
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8394
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1714
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.6974
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3179
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4791
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2063
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.3536
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.88
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4644
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4353
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8355
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.5378
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4946
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.7699
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5374
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6132
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1893
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6742
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.899
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9575
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8007
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.6159
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.173
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4599
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1296
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0844
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.7573
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0319
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5719
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8451
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.0686
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.752
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7404
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4484
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4614
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4395
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8416
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0468
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.3115
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9907
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5196
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.4836
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6766
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8669
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5885
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6457
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5649
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6214
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2845
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5586
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9843
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3726
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2196
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2146
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.8486
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.766
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8355
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.756
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.31
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.403
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8537
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0377
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1896
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3657
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.3411
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.438
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8087
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1488
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",9.7473
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7608
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5003
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.1663
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.396
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6383
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.917
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3139
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4415
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8314
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.8973
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.1239
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.3526
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4891
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",11.2271
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6881
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8709
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4722
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6894
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0223
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7196
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2791
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8861
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.698
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7282
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9259
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2651
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7066
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3829
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.0822
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9807
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.9
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2606
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6447
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5965
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2492
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2304
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.3993
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4056
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.7137
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.4089
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5244
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4098
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6957
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7236
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1058
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5261
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7807
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2877
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6817
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5166
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.9567
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6394
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8886
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3124
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1288
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2669
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1565
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0669
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.3145
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8253
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5679
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7064
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.5469
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7189
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6822
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2975
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7622
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4484
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5501
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6074
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.707
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7238
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2897
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1589
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3882
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.1537
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9153
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.136
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2197
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1678
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4105
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.9742
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0026
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1231
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3733
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3398
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4165
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.9117
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1201
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.6553
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.586
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0805
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1045
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6308
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4018
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.9691
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0907
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6949
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8581
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6416
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5788
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3453
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.394
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8687
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.9317
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3073
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2511
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4587
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5434
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.0501
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.0872
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5951
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7497
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.9905
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.322
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.0223
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0905
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5634
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1758
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5613
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.654
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.435
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6598
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.3862
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3407
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8903
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8152
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3562
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9083
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.177
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9211
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0884
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7627
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4289
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2387
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2057
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2881
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8162
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1709
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3171
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3572
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8365
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9185
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.9543
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6236
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.3699
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4108
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.3075
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.1257
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6735
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.282
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.0875
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4735
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5084
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9923
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",10.3949
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6208
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0406
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.733
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7615
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.1751
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1017
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5967
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2313
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9481
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6786
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.4868
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5149
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7282
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3617
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.7484
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6247
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3069
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3359
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5707
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5393
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3745
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5217
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3422
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4681
